№п/п,Подразделение (центральное / областное),Наименование ГУ,Физический адрес,"Из списка 
 исходного СОИ","Статус строительства 
 ВОЛС","Статус 
 подключения",Готовность ПСД,КВЭП
Завершены работы,,,,,,,,
28,ДГД по области Абай,ПУНКТ ПРОПУСКА «КОЯНБАЙ» (АВТОМОБИЛЬНЫЙ) ВКО,"Бескарагайского р-не в 14 км от населенного пункта Коянбай, 200 м от ЛГГ",Да,15.06.2026,15.06.2026,"готов, без коммуникации",29.05.2026
29,ДГД по области Абай,ПУНКТ ПРОПУСКА «БАЙТАНАТ» (АВТОМОБИЛЬНЫЙ) ВКО,"Бородулихинский р-н, с. Байтанат, 12 км от ЛГГ",Нет (новый),15.04.2026,15.04.2026,"готов, без коммуникации",29.05.2026
30,ДГД по Павлодарской области,ПУНКТ ПРОПУСКА «АМАНГЕЛЬДЫ» (АВТОМОБИЛЬНЫЙ),"Павлодарская область, на автомагистрали Павлодар-Омск, 320 км от г. Павлодар",Нет (новый),15.04.2026,15.04.2026,"готов, без коммуникации",29.05.2026
31,ДГД по СКО,ПУНКТ ПРОПУСКА «КЫЗЫЛЖАР»,"Кызылжарский район, 3 км от н.п. Красный Яр, 83 км от г. Петропавловск, 500 м от ЛГГ",Нет (новый),15.04.2026,15.04.2026,"готов, без коммуникации",29.05.2026
32,ДГД по СКО,ПУНКТ ПРОПУСКА «БИДАИК»,"Ч.Уалихановский район 11 км от село Бидаик, 20 м от ЛГГ",Нет (новый),15.04.2026,15.04.2026,"готов, без коммуникации",29.05.2026
33,ДГД по СКО,ПУНКТ ПРОПУСКА «ЖАНАЖОЛ»,"Мамлютский район село Чистое, 640 м от ЛГГ",Нет (новый),15.04.2026,15.04.2026,"готов, без коммуникации",29.05.2026
34,ДГД по СКО,ПУНКТ ПРОПУСКА «ЖАНАЖОЛ» 2,"Мамлютский район село Чистое, 640 м от ЛГГ Здание 2",Нет (новый),15.04.2026,15.04.2026,"готов, без коммуникации",29.05.2026
35,ДГД по Атырауской области,"Таможенный пост ""Тенгиз""","Атырауская обл., Жылыойский район, гор. Кульсары, промзона Тенгизшевройл",Нет (новый),15.03.2026,15.03.2026,"готов, без коммуникации",29.05.2026
36,ДГД по Актюбинской области,ПУНКТ ПРОПУСКА «ЖАЙСАН»,"Актюбинская область, Мартукский район, п. Жайсан, 5 метров от ЛГГ",,,30.03.2026,"готов, без коммуникации",29.05.2026
37,ДГД по ВКО,ПУНКТ ПРОПУСКА «УБА» (АВТОМОБИЛЬНЫЙ),н.п. Шемонаиха,,,30.05.2026,"готов, без коммуникации",29.05.2026
38,ДГД по Актюбинской области,Таможенный пост «Эмбi»,"Мугалжарский район, новая база УПТО и КО АО «СНПС-Актобемунайгаз» месторождение «Жанажол»",,,30.03.2026,"готов, без коммуникации",29.05.2026
