,,,,,,,,Исходно-разрешительные документы,,,,,,,,,,,Инженерные изыскания,,,,,Проектирование,,,,,,,,,Согласования,,,,,,,,,,,,,,,,,,,,,Землеустроительные работы,,,,,Экспертиза проекта,,Итоги,,
,2026,"ТОО ""5А Engineering""",114655300,Акмолинская область,Ерейментауский район,Еркиншиликский с.о.,с.Енбек,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Выдано,100%,Выдано,100%,100%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,15.07.2026,"15,38%"
,2026,"ТОО ""5А Engineering""",114639100,Акмолинская область,Ерейментауский район,с.Бозтал,с.Бозтал,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Выдано,100%,Выдано,100%,"100,00%",,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,15.07.2026,"15,38%"
,2026,"ТОО ""5А Engineering""",114837300,Акмолинская область,Есильский район,Бузулукский с.о.,с.Сурган,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Выдано,100%,Выдано,100%,100%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,31.09.2026,"15,38%"
,2026,"ТОО ""5А Engineering""",114845200,Акмолинская область,Есильский район,Жаныспайский с.о.,с.Ковыльное,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Выдано,100%,Выдано,100%,100%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,31.09.2026,"15,38%"
,2026,"ТОО ""5А Engineering""",114859200,Акмолинская область,Есильский район,Канай Бийский с.о.,с.Иглик,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Выдано,100%,Выдано,100%,100%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,31.09.2026,"15,38%"
,2026,"ТОО ""5А Engineering""",114857300,Акмолинская область,Есильский район,Красивинский с.о.,с.Кумай,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Выдано,100%,Выдано,100%,100%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,31.09.2026,"15,38%"
,2026,"ТОО ""5А Engineering""",115669100,Акмолинская область,Зерендинский район,Байтерекский с.о.,с.Байтерек,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115669300,Акмолинская область,Зерендинский район,Байтерекский с.о.,с.Ермаковка,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115669400,Акмолинская область,Зерендинский район,Байтерекский с.о.,с.Красный Кордон,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115637400,Акмолинская область,Зерендинский район,Булакский с.о.,с.Жанааул,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
