№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
322,153241300,,Спутник,Актюбинская область,Алгинский район,Ушкудукский с.о.,с. Аксазды,"50.056650, 57.030606",,2027,69,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
323,153241200,"6,5",ВОЛС,Актюбинская область,Алгинский район,Ушкудукский с.о.,с.Жеруйык,"50.168406, 56.928845",254,2026,57,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
324,153641500,,Спутник,Актюбинская область,Байганинский район,Кольтобанский,Жынгылдытогай,"48.661028, 55.555833",,2025,11,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
325,153635100,,Спутник,Актюбинская область,Байганинский район,Жанажолский с.о.,с.Оймауыт,"47.259617, 55.888793",,2027,767,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
326,153637100,40,ВОЛС,Актюбинская область,Байганинский район,Жаркамысский с.о.,с.Жаркамыс,"47.936987, 56.455972",1846,2026,324,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
327,153637400,17,ВОЛС,Актюбинская область,Байганинский район,Жаркамысский с.о.,с.Каражар,"47.840646, 56.202368",,2026,634,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
328,153630400,19,ВОЛС,Актюбинская область,Байганинский район,Карауылкелдинский с.о.,с.Кокбулак,"48.668026, 56.136629",248,2026,79,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
329,153630500,22,ВОЛС,Актюбинская область,Байганинский район,Карауылкелдинский с.о.,с.Косарал,"48.543264, 56.018699",247,2026,59,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
330,153630200,,Спутник,Актюбинская область,Байганинский район,Карауылкелдинский с.о.,ст.Кенжалы,"48.941711, 56.229767",,2025,54,,,1,,,,,,,,,,1,Подключено,,1 ФАП,1,1,,,,,
331,153641300,15,ВОЛС,Актюбинская область,Байганинский район,Кольтабанский с.о.,с.Кораши,"48.442924, 55.719057",358,2026,77,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
332,153643200,,Спутник,Актюбинская область,Байганинский район,Копинский с.о.,с. Айрык,"48.323253, 55.128306",,2025,99,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
333,153643100,35,ВОЛС,Актюбинская область,Байганинский район,Копинский с.о.,с.Ебейти,"48.089591, 55.229502",757,2026,127,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
334,153643400,3,ВОЛС,Актюбинская область,Байганинский район,Копинский с.о.,с.Копа,"48.140055, 55.107043",225,2026,46,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
335,153649200,2,ВОЛС,Актюбинская область,Байганинский район,Кызылбулакский с.о.,с.Булактыколь,"48.228399, 56.643899",,2026,532,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
336,153649300,15,ВОЛС,Актюбинская область,Байганинский район,Кызылбулакский с.о.,с.Жанатан,"48.143344, 56.958893",,2026,540,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
337,153649100,24,ВОЛС,Актюбинская область,Байганинский район,Кызылбулакский с.о.,с.Кемерши,"48.078564, 56.772717",1088,2026,166,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
338,153655300,,Спутник,Актюбинская область,Байганинский район,Миялинский с.о.,с.Дияр,"46.697854, 56.024070",,2026,296,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
339,153655100,,Спутник,Актюбинская область,Байганинский район,Миялинский с.о.,с.Миялы,"47.262821, 55.564376",,2027,442,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
340,153651100,,Спутник,Актюбинская область,Байганинский район,Сарытогайский с.о.,с. Алтай батыра,"48.220656, 55.790518",,2026,822,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
341,153651300,,Спутник,Актюбинская область,Байганинский район,Сарытогайский с.о.,с. Шукырши,"48.167573, 55.719416",,2025,71,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
342,153651200,29,ВОЛС,Актюбинская область,Байганинский район,Сарытогайский с.о.,с.Баршакум,"48.083422, 55.575955",248,2026,52,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
343,156835200,18,ВОЛС,Актюбинская область,Иргизский район,Аманкольский с.о.,с.Аманколь,48.535196 61.415210,549,2027,137,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
344,156835300,16,ВОЛС,Актюбинская область,Иргизский район,Аманкольский с.о.,с.Жарма,48.401861 61.532291,356,2027,89,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
345,156837100,,Спутник,Актюбинская область,Иргизский район,Жайсанбайский с.о.,с.Жайсанбай,48.039611 62512130,,2026,485,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
346,156830200,16,ВОЛС,Актюбинская область,Иргизский район,Иргизский с.о.,с.Акши,48.653930 61.015964,453,2027,113,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
347,156830300,,Спутник,Актюбинская область,Иргизский район,Иргизский с.о.,с.Калыбай,49.150232 60.810597,,2026,220,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
348,156839200,34,ВОЛС,Актюбинская область,Иргизский район,Кумтогайский с.о.,с.Каракудык,49.216572 60501656,233,2027,58,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
349,156839300,6,ВОЛС,Актюбинская область,Иргизский район,Кумтогайский с.о.,с.Карасай,49.099201 60298634,,2026,136,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
350,156839100,15,ВОЛС,Актюбинская область,Иргизский район,Кумтогайский с.о.,с.Кумтогай,49.131620 60346100,,2026,505,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
351,156841200,26,ВОЛС,Актюбинская область,Иргизский район,Кызылжарский с.о.,с. Жаныс би,48.673716 60.501656,557,2027,139,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
352,156841400,20,ВОЛС,Актюбинская область,Иргизский район,Кызылжарский с.о.,с.Шенбертал,48.716901 60454915,578,2027,145,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
353,156845100,,Спутник,Актюбинская область,Иргизский район,Тауипский с.о.,с.Куйлыс,48.244253 62.068028,,2026,541,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
354,156843200,26,ВОЛС,Актюбинская область,Иргизский район,Hуринский с.о.,с.Белшер,48.778901 62.284862,224,2027,56,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
355,156843300,17,ВОЛС,Актюбинская область,Иргизский район,Hуринский с.о.,с.Дукен,48.957858 62000651,130,2025,33,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.06.2027,30.11.2027,,,
356,156843400,"11,5",ВОЛС,Актюбинская область,Иргизский район,Hуринский с.о.,с.Мамыр,48.954469 62.398259,152,2025,38,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.06.2027,30.11.2027,,,
357,154033500,9,ВОЛС,Актюбинская область,Каргалинский район,Ащылысайский с.о.,с.Акколь,"50.772535, 58.375009",156,2026,45,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
358,154033200,"24,6",ВОЛС,Актюбинская область,Каргалинский район,Ащылысайский с.о.,с.Бозтобе,"50.881572, 58.506955",261,2026,74,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
359,154033400,3,ВОЛС,Актюбинская область,Каргалинский район,Ащылысайский с.о.,с.Преображеновка,"50.801842, 58.285686",111,2026,36,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
360,154049400,15,ВОЛС,Актюбинская область,Каргалинский район,Велиховский с.о.,с.Акжайык,"50.906008, 58.004525",155,2026,70,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
361,154053200,3,ВОЛС,Актюбинская область,Каргалинский район,Кемпирсайский с.о.,с.Кемпирсай,"50.613886, 58.242643",172,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
362,154057200,19,ВОЛС,Актюбинская область,Каргалинский район,Степной с.о.,с.Кайракты,"50.665854, 58.486766",303,2026,82,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
363,154057100,48,ВОЛС,Актюбинская область,Каргалинский район,Степной с.о.,с.Степное,"50.720182, 58.673172",522,2026,164,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
364,154655300,,Спутник,Актюбинская область,Мартукский район,Аккудыкский с.о.,с. Первомайка,"50.873675, 56.547797",,2025,79,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
365,154655100,"14,2",ВОЛС,Актюбинская область,Мартукский район,Аккудыкский с.о.,с.Вознесеновка,"50.907351, 56.400141",400,2026,144,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
366,154655200,16,ВОЛС,Актюбинская область,Мартукский район,Аккудыкский с.о.,с.Достык,"50.924075, 56.580613",382,2026,99,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
367,154655400,,Спутник,Актюбинская область,Мартукский район,Аккудыкский с.о.,с.Жанажол,"50.988902, 56.537862",,2027,63,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
368,154635200,3,ВОЛС,Актюбинская область,Мартукский район,Байторысайский с.о.,с.Дмитриевка,"50.878591, 56.685141",175,2026,67,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
369,154635300,"12,5",ВОЛС,Актюбинская область,Мартукский район,Байторысайский с.о.,с.Покровка,"51.034011, 56.777865",131,2026,58,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
370,154635400,16,ВОЛС,Актюбинская область,Мартукский район,Байторысайский с.о.,с.Полтавка,"51.014251, 56.956100",316,2026,119,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
371,154639500,18,ВОЛС,Актюбинская область,Мартукский район,Жайсанский с.о.,с.Кокпекти,"50.787723, 56.246574",122,2026,37,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
372,154645300,"12,8",ВОЛС,Актюбинская область,Мартукский район,Карашайский с.о.,с.Аккайын,"50.793628, 56.921236",495,2026,137,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
373,154645100,"18,1",ВОЛС,Актюбинская область,Мартукский район,Карашайский с.о.,с.Каратаусай,"50.781220, 56.791097",456,2026,140,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
374,154647200,"22,6",ВОЛС,Актюбинская область,Мартукский район,Кызылжарский с.о.,с.Борте,"50.971850, 57.299103",374,2026,121,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
375,154647100,13,ВОЛС,Актюбинская область,Мартукский район,Кызылжарский с.о.,с.Кызылжар,"50.901364, 57.096461",394,2026,118,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
376,154647300,"16,2",ВОЛС,Актюбинская область,Мартукский район,Кызылжарский с.о.,с.Шевченко,"50.894632, 56.946730",204,2026,59,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
377,154630500,12,ВОЛС,Актюбинская область,Мартукский район,Мартукский с.о.,с.Кумсай,"50.703073, 56.609143",210,2026,44,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
378,154659300,16,ВОЛС,Актюбинская область,Мартукский район,с.о. Курмансай,с.Егизата,"50.297747, 56.344527",87,2026,38,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
379,154659100,"24,4",ВОЛС,Актюбинская область,Мартукский район,с.о. Курмансай,с.Курмансай,"50.417857, 56.487996",291,2026,90,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
380,154653400,21,ВОЛС,Актюбинская область,Мартукский район,с.о.Байнассай,с.Акмоласай,"50.570380, 56.296530",134,2025,51,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.03.2026,30.11.2026,,,
381,154653100,"30,4",ВОЛС,Актюбинская область,Мартукский район,с.о.Байнассай,с.Байнассай,"50.512471, 56.209833",431,2026,138,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
382,154637100,32,ВОЛС,Актюбинская область,Мартукский район,Хазретовский с.о.,с.Хазретовка,"50.797784, 57.480168",371,2026,151,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
383,154833400,4,ВОЛС,Актюбинская область,Мугалжарский район,Аккемерский с.о.,с.Елек,"49.622116, 57.364035",427,2026,107,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
384,154833300,19,ВОЛС,Актюбинская область,Мугалжарский район,Аккемерский с.о.,с.Жарык,"49.536336, 57.552869",373,2026,93,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
385,154833600,15,ВОЛС,Актюбинская область,Мугалжарский район,Аккемерский с.о.,с.Котибар,"49.662911, 57.499113",140,2027,35,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
386,154835300,26,ВОЛС,Актюбинская область,Мугалжарский район,Ащысайский с.о.,с.Аксу,"49.621471, 58.367867",224,2027,56,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
387,154835100,2,ВОЛС,Актюбинская область,Мугалжарский район,Ащысайский с.о.,с.Ащысай,"49.416513, 58.293440",,2025,337,1,1,1,1,,,,,,,,,4,Подключено,временно спутник,"1 Акимат, 1 Школа, 1 ФАП, 1 Полиция",4,3,15.04.2026,30.11.2026,,,
388,154835500,3,ВОЛС,Актюбинская область,Мугалжарский район,Ащысайский с.о.,с.Сабындыколь,"49.420803, 58.185351",104,2025,26,,1,,,,,,,,,,,1,Подключено,временно спутник,1 Школа,1,0,15.04.2026,30.11.2026,,,
389,154837300,17,ВОЛС,Актюбинская область,Мугалжарский район,Батпаккольский с.о.,с.Кожасай,"48.216048, 57.113864",260,2027,65,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
390,154837400,4,ВОЛС,Актюбинская область,Мугалжарский район,Батпаккольский с.о.,с.Сага,"48.489613, 57.445797",515,2027,129,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
391,154839100,,Спутник,Актюбинская область,Мугалжарский район,Егиндыбулакский с.о.,с. Булакты,"49.180573, 58.419491",,2025,423,1,1,1,1,,,,,,,,,4,Подключено,,"1 Акимат, 1 Школа, 1 ФАП, 1 Полиция",4,3,,,,,
392,154841880,3,ВОЛС,Актюбинская область,Мугалжарский район,Енбекский с.о.,с. Темир-Мост,49.338553.57.104965,237,2027,59,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
393,154841200,5,ВОЛС,Актюбинская область,Мугалжарский район,Енбекский с.о.,с.Басшили,49361785 57.242558,578,2026,145,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
394,154845400,,Спутник,Актюбинская область,Мугалжарский район,Журынский с.о.,с. Колденен Темир,"49.129709, 57.616146",,2025,53,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
395,154847300,3,ВОЛС,Актюбинская область,Мугалжарский район,Кайындинский с.о.,с.Алтынды,48938096 58.706780,,2025,616,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.04.2026,30.11.2026,,,
396,154847100,37,ВОЛС,Актюбинская область,Мугалжарский район,Кайындинский с.о.,с.Кайынды,48924439 59.108458,723,2027,181,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
397,154851400,9,ВОЛС,Актюбинская область,Мугалжарский район,Кумжарганский с.о.,с.Кумжарган,48701618 57.861931,215,2027,54,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
398,154851500,3,ВОЛС,Актюбинская область,Мугалжарский район,Кумжарганский с.о.,с.Шенгельши,48544033 57.469752,426,2027,107,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
399,154855100,,Спутник,Актюбинская область,Мугалжарский район,Кумсайский с.о.,с.Кумсай,49491091 58.513668,,2025,556,1,1,1,1,,,,,,,,,4,Подключено,,"1 Акимат, 1 Школа, 1 ФАП, 1 Полиция",4,3,,,,,
400,154843200,12,ВОЛС,Актюбинская область,Мугалжарский район,с.о.им.Кудайбергена Жубанова,с.Жанатурмыс,49327572 57.837050,152,2025,38,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.04.2026,30.11.2026,,,
401,154843100,35,ВОЛС,Актюбинская область,Мугалжарский район,с.о.им.Кудайбергена Жубанова,с.Караколь,"49.284334, 58.005916",608,2027,152,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
402,154865400,19,ВОЛС,Актюбинская область,Мугалжарский район,Талдысайский с.о.,с.Енбек,"49.568159, 56.736394",,2025,293,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.04.2026,30.11.2026,,,
403,154865100,31,ВОЛС,Актюбинская область,Мугалжарский район,Талдысайский с.о.,с.Талдысай,"49.404982, 56.719881",554,2027,139,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
404,155637300,,Спутник,Актюбинская область,Темирский район,Кайындинский,Шибулак,"49.322348, 55.474176",,2025,54,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
405,155639200,,Спутник,Актюбинская область,Темирский район,Кенкиякский,Башенколь,"48.435560, 57.175567",,2025,53,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
406,155632200,,Спутник,Актюбинская область,Темирский район,Аксайский с.о.,с. Ащысай,"49.421320, 58.294675",,2025,169,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
469,156053200,15,ВОЛС (Wi-Fi public),Актюбинская область,Хромтауский район,Тасоткельский с.о.,с.Акбулак,50.301898 59.638272,192,2026,48,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
408,155632500,38,ВОЛС,Актюбинская область,Темирский район,Аксайский с.о.,с.Шыгырлы,"49.623450, 56.216273",305,2027,76,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
409,155633100,3,ВОЛС,Актюбинская область,Темирский район,Алтыкарасуский с.о.,с.Алтыкарасу,"49.199528, 55.867593",,2025,635,1,1,1,1,,,,,,,,,4,Подключено,временно спутник,"1 Акимат, 1 Школа, 1 ФАП, 1 Полиция",4,3,15.08.2026,30.11.2026,,,
410,155633300,36,ВОЛС,Актюбинская область,Темирский район,Алтыкарасуский с.о.,с.Енбекши,"49.350436, 56.171130",387,2027,97,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
411,155633400,33,ВОЛС,Актюбинская область,Темирский район,Алтыкарасуский с.о.,с.Сарытогай,"49.197973, 56.048763",147,2027,37,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
412,155645300,5,ВОЛС,Актюбинская область,Темирский район,Жаксымайский с.о.,ст.Жаксымай,"49.192345, 56.589228",220,2027,55,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
413,155637200,16,ВОЛС,Актюбинская область,Темирский район,Кайындинский с.о.,с.Бабатай,"49.296389, 55.643333",239,2027,60,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
414,155637100,33,ВОЛС,Актюбинская область,Темирский район,Кайындинский с.о.,с.Кумкудык,"49.263333, 55.552222",436,2027,109,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
415,155641600,,Спутник,Актюбинская область,Темирский район,Кенестуский с.о.,с.Шитубек,"49.089594, 56.599684",,2027,56,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
416,155641300,3,ВОЛС,Актюбинская область,Темирский район,Кенестуский с.о.,ст.Калмаккырылган,"49.202500, 56.779444",370,2027,93,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
417,155642400,7,ВОЛС,Актюбинская область,Темирский район,Саркольский с.о.,с.Копа,"48.716489, 57.178239",227,2027,57,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
418,155642500,3,ВОЛС,Актюбинская область,Темирский район,Саркольский с.о.,с.Кумсай,"48.624285, 57.193989",374,2027,94,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
419,155643100,37,ВОЛС,Актюбинская область,Темирский район,Таскопинский с.о.,с.Таскопа,"48.861111, 55.591111",627,2027,157,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
420,155621200,32,ВОЛС,Актюбинская область,Темирский район,,с.Жамбыл,48.995369.57.234304,227,2027,57,,,,,,,,,,,,,0,В работе,,,0,0,15.08.2026,30.11.2026,,,
421,155235300,2,ВОЛС,Актюбинская область,Уилский район,Каиндинский с.о.,с.Косембай,"49.476596, 55.030462",401,2027,,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
422,155239100,2,ВОЛС,Актюбинская область,Уилский район,с.о.им. Ш.Берсиева,с.Каратал,"48.940995, 54.760015",885,2027,,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
423,155243200,22,ВОЛС,Актюбинская область,Уилский район,Коптогайский с.о.,с.Аманкельды,48.922473.54.572222,636,2027,105,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
424,155243300,12,ВОЛС,Актюбинская область,Уилский район,Коптогайский с.о.,с.Карасу,48.831200.54.469800,238,2027,35,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
425,155243100,25,ВОЛС,Актюбинская область,Уилский район,Коптогайский с.о.,с.Коптогай,48.910989.54.404943,831,2027,125,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
426,155243400,15,ВОЛС,Актюбинская область,Уилский район,Коптогайский с.о.,с.Шубарши,48.960656.54.246834,315,2027,45,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
427,155239200,12,ВОЛС,Актюбинская область,Уилский район,с.о.им. Ш.Берсиева,с.Карасу,48.872702.54.693391,128,2027,19,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
428,155239300,20,ВОЛС,Актюбинская область,Уилский район,с.о.им. Ш.Берсиева,с.Кумжарган,49.126128.54.900566,557,2027,78,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
429,155245200,15,ВОЛС,Актюбинская область,Уилский район,Саралжынский с.о.,с.Аккемер,49.665662.54.866236,387,2027,56,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
430,155245500,9,ВОЛС,Актюбинская область,Уилский район,Саралжынский с.о.,с.Шикудук,49.483743.54.818306,174,2027,24,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
431,155247200,"15,5",ВОЛС,Актюбинская область,Уилский район,Сарыбийский с.о.,с.Караколь,49.322950.53.786276,99,2027,15,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
432,155230200,21,ВОЛС,Актюбинская область,Уилский район,Уилский с.о.,с.Акшатау,49.341418.54.556514,370,2027,69,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
433,155230400,15,ВОЛС,Актюбинская область,Уилский район,Уилский с.о.,с.Каракемер,49.189887.54.531454,308,2027,55,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
434,154263300,,Спутник,Актюбинская область,Хобдинский район,Согалинский,Согалы,"50.890303, 54.804634",,2025,52,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
435,154233100,38,ВОЛС,Актюбинская область,Хобдинский район,Акрабский с.о.,с.Акраб,50.556487 55.187416,586,2026,150,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
436,154235100,19,ВОЛС,Актюбинская область,Хобдинский район,Бестауский с.о.,с.Бестау,50.321502 56.014699,409,2026,130,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
437,154239200,"17,5",ВОЛС,Актюбинская область,Хобдинский район,Булакский с.о.,с.Булак,50.095051 56.114676,131,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
438,154247200,20,ВОЛС,Актюбинская область,Хобдинский район,Жарсайский с.о.,с.Аксай,50.292535,179,2026,32,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
439,154247100,14,ВОЛС,Актюбинская область,Хобдинский район,Жарсайский с.о.,с.Жарсай,50.370487,515,2026,92,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
440,154249400,,Спутник,Актюбинская область,Хобдинский район,Жарыкский с.о.,с. Канай,"50.515031, 55.255804",,2026,121,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
441,154249100,31,ВОЛС,Актюбинская область,Хобдинский район,Жарыкский с.о.,с.Жарык,50.445710,309,2026,68,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
442,154251100,2,ВОЛС,Актюбинская область,Хобдинский район,Жиренкопинский с.о.,с.Жиренкопа,"50.846642, 54.832739",,2026,420,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
443,154230200,10,ВОЛС,Актюбинская область,Хобдинский район,Кобдинский с.о.,с.Курсай,50.274277 55.396200,122,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
444,154257300,3,ВОЛС,Актюбинская область,Хобдинский район,Кызылжарский с.о.,с.Каракемер,50.754067,105,2027,40,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
445,154257100,25,ВОЛС,Актюбинская область,Хобдинский район,Кызылжарский с.о.,с.Кызылжар,50.693079,280,2026,82,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
446,154261100,24,ВОЛС,Актюбинская область,Хобдинский район,Отекский с.о.,с.Отек,50.317178,460,2026,63,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
